Date,SPX,META,AMZN,AAPL,NFLX,GOOG
2019-01-02,2510.030029,135.679993,76.956497,39.480000,267.660004,52.292500
2019-01-03,2447.889893,131.740005,75.014000,35.547501,271.200012,50.803001
2019-01-04,2531.939941,137.949997,78.769501,37.064999,297.570007,53.535500
2019-01-07,2549.689941,138.050003,81.475502,36.982498,315.339996,53.419498
2019-01-08,2574.409912,142.529999,82.829002,37.687500,320.269989,53.813999
2019-01-09,2584.959961,144.229996,82.971001,38.327499,319.959991,53.733002
2019-01-10,2596.639893,144.199997,82.810997,38.450001,324.660004,53.516499
2019-01-11,2596.260010,143.800003,82.028000,38.072498,337.589996,52.859501
2019-01-14,2582.610107,145.389999,80.860497,37.500000,332.940002,52.234501
2019-01-15,2610.300049,148.949997,83.727997,38.267502,354.640015,53.857498
2019-01-16,2616.100098,147.539993,84.189003,38.735001,351.390015,54.048500
2019-01-17,2635.959961,148.300003,84.661003,38.965000,353.190002,54.494999
2019-01-18,2670.709961,150.039993,84.809998,39.205002,339.100006,54.912998
2019-01-22,2632.899902,147.570007,81.608498,38.325001,325.160004,53.526001
2019-01-23,2638.699951,144.300003,82.000999,38.480000,321.989990,53.778500
2019-01-24,2642.330078,145.830002,82.746498,38.174999,326.670013,53.695000
2019-01-25,2664.760010,149.009995,83.528503,39.439999,338.049988,54.549500
2019-01-28,2643.850098,147.470001,81.894501,39.075001,335.660004,53.504002
2019-01-29,2640.000000,144.190002,79.694000,38.669998,328.899994,53.030998
2019-01-30,2681.050049,150.419998,83.521500,41.312500,340.660004,54.452999
2019-01-31,2704.100098,166.690002,85.936501,41.610001,339.500000,55.818501
2019-02-01,2706.530029,165.710007,81.311501,41.630001,339.850006,55.537498
2019-02-04,2724.870117,169.250000,81.665497,42.812500,351.339996,56.639999
2019-02-05,2737.699951,171.160004,82.940498,43.544998,355.809998,57.299500
2019-02-06,2731.610107,170.490005,82.013000,43.560001,352.190002,55.761501
2019-02-07,2706.050049,166.380005,80.718498,42.735001,344.709991,54.935501
2019-02-08,2707.879883,167.330002,79.411003,42.602501,347.570007,54.752998
2019-02-11,2709.800049,165.789993,79.550003,42.357498,345.730011,54.750500
2019-02-12,2744.729980,165.039993,81.900497,42.722500,359.970001,56.068501
2019-02-13,2753.030029,164.070007,82.000000,42.544998,351.769989,56.007999
2019-02-14,2745.729980,163.949997,81.132500,42.700001,359.070007,56.083500
2019-02-15,2775.600098,162.500000,80.397499,42.605000,356.869995,55.682499
2019-02-19,2779.760010,162.289993,81.378998,42.732498,361.920013,55.928001
2019-02-20,2784.699951,162.559998,81.105003,43.007500,359.910004,55.689999
2019-02-21,2774.879883,160.039993,80.972000,42.764999,356.970001,54.848499
2019-02-22,2792.669922,161.889999,81.578003,43.242500,363.019989,55.518501
2019-02-25,2796.110107,164.619995,81.650002,43.557499,363.910004,55.470001
2019-02-26,2793.899902,164.130005,81.820000,43.582500,364.970001,55.756500
2019-02-27,2792.379883,162.809998,82.054497,43.717499,362.869995,55.802502
